WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((555000 6245000,560000 6245000,560000 6250000,555000 6250000,555000 6245000))","     36","     30.4","      2.3","     87.0","     24.0","     -1.0","    115.0",1963-07-26,2013-10-09,"   1997008810",255 125 0,
"POLYGON ((585000 6255000,590000 6255000,590000 6260000,585000 6260000,585000 6255000))","     35","     17.1","      8.0","     36.7","     26.8","     14.0","     50.0",1972-03-21,2015-09-14,"       103267",255 255 0,
"POLYGON ((585000 6250000,590000 6250000,590000 6255000,585000 6255000,585000 6250000))","     23","     11.6","      2.0","     41.0","     27.2","      9.0","     58.0",1989-11-20,2020-03-23,"   1997009202",255 255 0,
"POLYGON ((465000 6225000,470000 6225000,470000 6230000,465000 6230000,465000 6225000))","    732","     31.0","      4.9","     47.0","      4.1","      2.0","     36.0",1980-07-31,2011-06-09,"       104467",255 125 0,
"POLYGON ((505000 6240000,510000 6240000,510000 6245000,505000 6245000,505000 6240000))","     38","     32.0","      6.2","     92.0","     12.3","      5.5","     27.0",1966-05-26,2016-04-27,"       102850",255 125 0,
"POLYGON ((525000 6235000,530000 6235000,530000 6240000,525000 6240000,525000 6235000))","      5","     14.1","      3.3","     43.0","     12.2","     -2.0","     17.0",1989-10-31,2013-05-30,"       255080",255 255 0,
"POLYGON ((510000 6230000,515000 6230000,515000 6235000,510000 6235000,510000 6230000))","     46","     27.3","      2.5","     79.0","      9.5","      3.0","     25.0",1967-08-21,1985-02-27,"       103747",255 125 0,
"POLYGON ((515000 6235000,520000 6235000,520000 6240000,515000 6240000,515000 6235000))","     11","     17.9","      5.3","     38.0","     16.4","      6.3","     23.0",1967-09-12,2002-09-25,"       103753",255 255 0,
"POLYGON ((520000 6235000,525000 6235000,525000 6240000,520000 6240000,520000 6235000))","      4","     28.1","      8.9","     63.0","     17.3","     15.0","     20.0",1983-03-17,2013-05-29,"   2003001929",255 125 0,
"POLYGON ((560000 6230000,565000 6230000,565000 6235000,560000 6235000,560000 6230000))","   1248","     20.1","      2.3","    114.0","     24.5","      1.0","     54.0",1961-01-09,2020-10-13,"       104075",255 255 0,
"POLYGON ((545000 6230000,550000 6230000,550000 6235000,545000 6235000,545000 6230000))","     13","     38.2","      2.0","    100.0","     15.0","      2.5","     27.0",1939-11-25,2018-12-07,"         7725",255 125 0,
"POLYGON ((565000 6240000,570000 6240000,570000 6245000,565000 6245000,565000 6240000))","     56","     15.1","      2.5","     65.0","     19.8","      4.0","     36.0",1967-05-30,2017-03-10,"         5825",255 255 0,
"POLYGON ((595000 6235000,600000 6235000,600000 6240000,595000 6240000,595000 6235000))","     31","     27.6","      2.1","    120.0","     14.5","     -2.0","     42.0",1980-10-27,2019-03-08,"         5298",255 125 0,
"POLYGON ((600000 6245000,605000 6245000,605000 6250000,600000 6250000,600000 6245000))","     56","     56.1","      7.0","    260.0","     17.3","      3.0","     33.5",1965-08-28,2013-06-24,"       103307",255 0 0,
"POLYGON ((485000 6220000,490000 6220000,490000 6225000,485000 6225000,485000 6220000))","     48","     38.1","      9.5","     82.0","     42.3","      8.0","    103.0",1976-07-29,1995-05-31,"   2006139184",255 125 0,
"POLYGON ((490000 6220000,495000 6220000,495000 6225000,490000 6225000,490000 6220000))","     26","     16.3","      2.5","     88.5","     35.2","     15.0","     94.0",1976-07-20,1998-02-02,"       104556",255 255 0,
"POLYGON ((530000 6220000,535000 6220000,535000 6225000,530000 6225000,530000 6220000))","     51","     14.7","      2.0","     54.0","     23.7","     11.0","     57.0",1941-02-21,2020-11-26,"       104813",255 255 0,
"POLYGON ((530000 6215000,535000 6215000,535000 6220000,530000 6220000,530000 6215000))","     46","     16.9","      3.0","     42.0","     69.5","      2.0","     88.0",1964-08-27,2020-06-04,"         7918",255 255 0,
"POLYGON ((555000 6225000,560000 6225000,560000 6230000,555000 6230000,555000 6225000))","     38","      9.4","      2.0","     30.0","     29.5","     14.0","    113.0",1961-01-11,2018-12-13,"   2006524109",0 255 0,
"POLYGON ((590000 6225000,595000 6225000,595000 6230000,590000 6230000,590000 6225000))","     26","      7.2","      2.5","     21.0","     26.3","     15.0","     34.0",1979-04-30,2018-10-23,"   2006524908",0 255 0,
"POLYGON ((595000 6200000,600000 6200000,600000 6205000,595000 6205000,595000 6200000))","   1547","     63.3","      2.0","    390.0","     24.4","      1.0","     65.0",1970-06-23,2020-10-08,"       105459",255 0 0,
"POLYGON ((460000 6185000,465000 6185000,465000 6190000,460000 6190000,460000 6185000))","      8","     11.8","      2.0","     68.0","     10.3","      2.0","     16.0",1962-11-26,1994-08-22,"       105572",255 255 0,
"POLYGON ((470000 6180000,475000 6180000,475000 6185000,470000 6185000,470000 6180000))","     41","     22.3","      3.6","     53.0","     22.4","     15.4","     33.0",1989-06-19,2010-07-26,"   2002021086",255 255 0,
"POLYGON ((485000 6190000,490000 6190000,490000 6195000,485000 6195000,485000 6190000))","      4","     32.3","     15.0","     55.0","      9.8","      6.5","     16.0",1976-07-15,1987-08-13,"       105642",255 125 0,
