WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((555000 6380000,560000 6380000,560000 6385000,555000 6385000,555000 6380000))","      9","     12.8","      7.0","     26.0","     27.3","     16.3","     52.0",1920-10-26,1959-02-09,"       100034",255 255 0,
"POLYGON ((535000 6345000,540000 6345000,540000 6350000,535000 6350000,535000 6345000))","      3","     22.4","      2.5","     55.0","     18.9","      2.0","     33.0",2005-11-28,2014-11-19,"   2008091493",255 255 0,
"POLYGON ((475000 6280000,480000 6280000,480000 6285000,475000 6285000,475000 6280000))","      2","     36.0","     25.0","     47.0","     22.0","     22.0","     22.0",1971-01-26,1996-10-14,"   1997007992",255 125 0,
"POLYGON ((505000 6245000,510000 6245000,510000 6250000,505000 6250000,505000 6245000))","      6","     18.4","      3.7","     66.0","     15.4","      5.4","     34.0",1967-06-13,1978-11-21,"       102721",255 255 0,
"POLYGON ((450000 6225000,455000 6225000,455000 6230000,450000 6230000,450000 6225000))","      5","     32.1","      2.2","     67.4","     53.9","      6.3","     79.0",1975-06-20,1996-12-13,"       104383",255 125 0,
"POLYGON ((590000 6220000,595000 6220000,595000 6225000,590000 6225000,590000 6220000))","     37","     29.4","      3.5","    155.0","     26.7","     10.0","     57.0",1964-04-23,2020-01-14,"       105026",255 125 0,
"POLYGON ((485000 6205000,490000 6205000,490000 6210000,485000 6210000,485000 6205000))","      3","     54.7","     42.0","     79.0","     25.9","     18.0","     32.8",1983-04-12,2012-06-14,"   2006377821",255 0 0,
"POLYGON ((540000 6210000,545000 6210000,545000 6215000,540000 6215000,540000 6210000))","      1","      2.0","      2.0","      2.0","     45.0","     45.0","     45.0",1996-12-06,1996-12-06,"   1997009070",0 255 0,
"POLYGON ((555000 6130000,560000 6130000,560000 6135000,555000 6135000,555000 6130000))","      4","     84.3","      3.0","    140.0","     26.7","      6.0","     64.0",1977-01-17,2011-06-29,"   1995009634",255 0 0,
"POLYGON ((490000 6110000,495000 6110000,495000 6115000,490000 6115000,490000 6110000))","      2","      5.6","      2.5","      8.6","     18.5","     16.0","     21.0",2012-11-21,2012-11-29,"   2012025155",0 255 0,
"POLYGON ((605000 6115000,610000 6115000,610000 6120000,605000 6120000,605000 6115000))","      1","     26.0","     26.0","     26.0","     24.0","     24.0","     24.0",2011-11-04,2011-11-04,"   2011025823",255 125 0,
"POLYGON ((665000 6175000,670000 6175000,670000 6180000,665000 6180000,665000 6175000))","      1","      2.0","      2.0","      2.0","     36.0","     36.0","     36.0",1993-04-29,1993-04-29,"   1995016635",0 255 0,
"POLYGON ((670000 6140000,675000 6140000,675000 6145000,670000 6145000,670000 6140000))","      1","     66.0","     66.0","     66.0","      4.0","      4.0","      4.0",1976-06-30,1976-06-30,"       112719",255 0 0,
"POLYGON ((695000 6120000,700000 6120000,700000 6125000,695000 6125000,695000 6120000))","      4","      3.4","      2.1","      5.3","     36.4","      2.0","     57.6",1996-05-14,2002-12-11,"   2003002537",0 255 0,
"POLYGON ((680000 6065000,685000 6065000,685000 6070000,680000 6070000,680000 6065000))","      4","     67.0","     26.0","    100.0","     12.1","      4.4","     25.5",1963-10-30,2002-11-21,"       116574",255 0 0,
"POLYGON ((875000 6115000,880000 6115000,880000 6120000,875000 6120000,875000 6115000))","      3","      8.3","      5.0","     16.0","     22.0","     14.0","     30.0",1971-08-02,1972-10-03,"       116787",0 255 0,
"POLYGON ((460000 6280000,465000 6280000,465000 6285000,460000 6285000,460000 6280000))","      5","     13.5","      4.4","     18.0","     18.9","     13.6","     27.0",1984-07-02,2014-12-15,"   2003002032",255 255 0,
"POLYGON ((670000 6120000,675000 6120000,675000 6125000,670000 6125000,670000 6120000))","      3","     18.4","      2.5","     33.0","     17.3","      1.5","     33.0",2001-10-08,2002-11-13,"   2003002532",255 255 0,
"POLYGON ((585000 6075000,590000 6075000,590000 6080000,585000 6080000,585000 6075000))","     26","     34.9","      2.0","    136.0","     19.8","     16.5","     24.5",1995-07-09,2020-10-07,"   2006032042",255 125 0,
"POLYGON ((485000 6305000,490000 6305000,490000 6310000,485000 6310000,485000 6305000))","      6","     46.5","      2.3","    116.0","     48.5","     36.0","     78.0",1951-08-31,2006-09-12,"       101453",255 125 0,
"POLYGON ((490000 6295000,495000 6295000,495000 6300000,490000 6300000,490000 6295000))","      2","     12.0","     12.0","     12.0","     14.0","     14.0","     14.0",1994-10-26,1995-07-03,"   1996008338",255 255 0,
"POLYGON ((570000 6290000,575000 6290000,575000 6295000,570000 6295000,570000 6290000))","     10","      9.9","      2.2","     34.0","     55.7","     45.0","     72.0",1978-05-01,2021-01-12,"   2010011279",0 255 0,
"POLYGON ((545000 6220000,550000 6220000,550000 6225000,545000 6225000,545000 6220000))","      7","     18.7","      3.0","     55.0","      4.9","      1.5","      6.0",1985-05-28,2002-11-19,"   1996007485",255 255 0,
"POLYGON ((535000 6135000,540000 6135000,540000 6140000,535000 6140000,535000 6135000))","      3","      9.0","      6.9","     15.0","     14.0","     14.0","     14.0",1991-06-03,1999-08-03,"   2000008568",0 255 0,
"POLYGON ((630000 6190000,635000 6190000,635000 6195000,630000 6195000,630000 6190000))","      2","     88.5","     44.0","    133.0","     25.8","     22.5","     29.0",1968-04-02,1968-04-02,"       110408",255 0 0,
"POLYGON ((635000 6165000,640000 6165000,640000 6170000,635000 6170000,635000 6165000))","     10","     38.9","      2.0","    114.0","     28.8","      7.0","     54.0",1975-12-17,2009-04-22,"       151893",255 125 0,
"POLYGON ((655000 6170000,660000 6170000,660000 6175000,655000 6175000,655000 6170000))","     10","      5.1","      2.4","      7.5","     28.5","     27.0","     30.0",1989-05-11,1998-06-17,"   1995017254",0 255 0,
"POLYGON ((580000 6120000,585000 6120000,585000 6125000,580000 6125000,580000 6120000))","      2","     30.6","      2.2","     59.0","     21.8","      5.5","     38.0",2008-03-10,2014-01-30,"   2009006056",255 125 0,
"POLYGON ((520000 6285000,525000 6285000,525000 6290000,520000 6290000,520000 6285000))","     15","     50.9","      2.4","    225.0","     31.2","     11.0","     51.0",1988-01-20,2019-04-26,"       254902",255 0 0,
"POLYGON ((580000 6260000,585000 6260000,585000 6265000,580000 6265000,580000 6260000))","     53","     41.2","      2.3","    224.0","     19.3","     11.0","     33.9",1977-05-26,2020-10-28,"       102496",255 125 0,
"POLYGON ((560000 6140000,565000 6140000,565000 6145000,560000 6145000,560000 6140000))","      2","     53.0","     37.0","     69.0","     18.0","     18.0","     18.0",1994-03-14,1994-09-05,"   1995010708",255 0 0,
"POLYGON ((490000 6125000,495000 6125000,495000 6130000,490000 6130000,490000 6125000))","      3","     64.0","     41.0","     66.0","      7.0","      7.0","      7.0",1989-04-10,1995-09-11,"   2006065151",255 0 0,
"POLYGON ((610000 6090000,615000 6090000,615000 6095000,610000 6095000,610000 6090000))","      1","      2.0","      2.0","      2.0","     22.0","     22.0","     22.0",1996-04-17,1996-04-17,"   1997006438",0 255 0,
"POLYGON ((610000 6075000,615000 6075000,615000 6080000,610000 6080000,610000 6075000))","      1","      4.5","      4.5","      4.5","     33.3","     33.3","     33.3",2011-10-10,2011-10-10,"   2011024957",0 255 0,
"POLYGON ((655000 6175000,660000 6175000,660000 6180000,655000 6180000,655000 6175000))","      1","     30.0","     30.0","     30.0","     44.0","     44.0","     44.0",1917-02-13,1917-02-13,"       111078",255 125 0,
"POLYGON ((450000 6245000,455000 6245000,455000 6250000,450000 6250000,450000 6245000))","      1","      8.0","      8.0","      8.0","       .8","       .8","       .8",2000-12-04,2000-12-04,"   2006143518",0 255 0,
"POLYGON ((570000 6350000,575000 6350000,575000 6355000,570000 6355000,570000 6350000))","      3","     23.9","      2.2","     57.0","     16.7","      1.8","     31.5",1992-05-27,2017-04-12,"   2006025784",255 255 0,
"POLYGON ((465000 6310000,470000 6310000,470000 6315000,465000 6315000,465000 6310000))","      2","     35.0","     35.0","     35.0","     17.0","     17.0","     17.0",2002-07-02,2002-11-14,"   2003001994",255 125 0,
"POLYGON ((660000 6155000,665000 6155000,665000 6160000,660000 6160000,660000 6155000))","      1","      8.0","      8.0","      8.0","     16.0","     16.0","     16.0",1955-03-17,1955-03-17,"       112098",0 255 0,
"POLYGON ((645000 6115000,650000 6115000,650000 6120000,645000 6120000,645000 6115000))","      1","    180.0","    180.0","    180.0","     59.0","     59.0","     59.0",1961-07-01,1961-07-01,"       115422",255 0 0,
"POLYGON ((650000 6125000,655000 6125000,655000 6130000,650000 6130000,650000 6125000))","      1","      6.0","      6.0","      6.0","     31.0","     31.0","     31.0",1946-09-12,1946-09-12,"       115284",0 255 0,
"POLYGON ((875000 6130000,880000 6130000,880000 6135000,875000 6135000,875000 6130000))","      6","      5.9","      3.0","     32.0","     39.7","      3.0","    113.0",1944-12-09,1995-03-07,"       116668",0 255 0,
"POLYGON ((570000 6100000,575000 6100000,575000 6105000,570000 6105000,570000 6100000))","      1","     44.0","     44.0","     44.0","      9.5","      9.5","      9.5",2014-07-09,2014-07-09,"   2014043119",255 125 0,
"POLYGON ((480000 6235000,485000 6235000,485000 6240000,480000 6240000,480000 6235000))","      5","     33.0","     28.0","     44.0","     10.0","     10.0","     10.0",2015-10-28,2020-10-14,"   2020057604",255 125 0,
"POLYGON ((515000 6300000,520000 6300000,520000 6305000,515000 6305000,515000 6300000))","      1","     69.0","     69.0","     69.0","      1.5","      1.5","      1.5",2018-04-17,2018-04-17,"   2019022231",255 0 0,
"POLYGON ((510000 6210000,515000 6210000,515000 6215000,510000 6215000,510000 6210000))","      1","     42.8","     42.8","     42.8","     23.5","     23.5","     23.5",1978-06-20,1978-06-20,"       105261",255 125 0,
"POLYGON ((485000 6140000,490000 6140000,490000 6145000,485000 6145000,485000 6140000))","      1","      3.3","      3.3","      3.3","     17.5","     17.5","     17.5",1977-06-22,1977-06-22,"   2006037613",0 255 0,
"POLYGON ((665000 6150000,670000 6150000,670000 6155000,665000 6155000,665000 6150000))","      1","      2.0","      2.0","      2.0","     30.7","     30.7","     30.7",1976-07-02,1976-07-02,"       112698",0 255 0,
"POLYGON ((550000 6365000,555000 6365000,555000 6370000,550000 6370000,550000 6365000))","     41","     27.1","      2.1","     82.0","     24.4","      7.0","     46.0",1977-08-10,2021-03-10,"       100323",255 125 0,
"POLYGON ((580000 6360000,585000 6360000,585000 6365000,580000 6365000,580000 6360000))","     87","     18.0","      2.0","    130.0","     28.7","     15.5","     53.0",1980-06-17,2020-03-11,"       100363",255 255 0,
"POLYGON ((550000 6340000,555000 6340000,555000 6345000,550000 6345000,550000 6340000))","      2","     13.0","     10.0","     16.0","     17.5","      7.0","     28.0",1956-08-02,1960-10-01,"       100737",255 255 0,
"POLYGON ((580000 6335000,585000 6335000,585000 6340000,580000 6340000,580000 6335000))","     25","     22.6","      2.3","     57.0","     23.9","      5.6","     40.0",1965-03-06,2020-11-16,"       100803",255 255 0,
"POLYGON ((485000 6315000,490000 6315000,490000 6320000,485000 6320000,485000 6315000))","    123","     53.2","      7.0","    130.0","     15.2","       .9","     37.0",1975-09-09,2016-06-06,"       101476",255 0 0,
"POLYGON ((475000 6310000,480000 6310000,480000 6315000,475000 6315000,475000 6310000))","     40","     29.4","      5.7","     41.0","     20.3","     12.3","     29.7",1974-04-02,2019-09-24,"   1995012116",255 125 0,
"POLYGON ((565000 6305000,570000 6305000,570000 6310000,565000 6310000,565000 6305000))","      3","     13.5","      4.4","     24.0","     45.0","     12.0","     73.0",1981-01-21,2010-04-20,"       131575",255 255 0,
"POLYGON ((490000 6290000,495000 6290000,495000 6295000,490000 6295000,490000 6290000))","      8","     12.9","      2.1","     35.0","     18.9","     13.0","     34.0",1958-04-02,2020-06-02,"       101710",255 255 0,
"POLYGON ((500000 6290000,505000 6290000,505000 6295000,500000 6295000,500000 6290000))","     39","     22.9","      2.0","     70.0","     16.0","     11.8","     21.5",1968-05-15,2010-10-26,"       101729",255 255 0,
"POLYGON ((530000 6290000,535000 6290000,535000 6295000,530000 6295000,530000 6290000))","   1813","     62.4","      2.0","    740.0","     14.8","      1.2","    105.0",1967-03-02,2020-11-25,"       101787",255 0 0,
"POLYGON ((535000 6305000,540000 6305000,540000 6310000,535000 6310000,535000 6305000))","     18","     28.4","      4.6","     85.0","     44.1","     28.0","     62.0",1974-12-06,2019-01-15,"   2008093191",255 125 0,
"POLYGON ((525000 6280000,530000 6280000,530000 6285000,525000 6285000,525000 6280000))","      7","     32.0","      5.0","     92.0","     15.8","     12.0","     17.8",1954-01-01,2002-08-05,"       102022",255 125 0,
"POLYGON ((545000 6275000,550000 6275000,550000 6280000,545000 6280000,545000 6275000))","      9","     56.0","      8.8","    100.0","     31.9","     11.0","     82.0",1931-03-05,2004-08-30,"       102058",255 0 0,
"POLYGON ((575000 6280000,580000 6280000,580000 6285000,575000 6285000,575000 6280000))","      7","     24.8","      2.5","     89.0","     36.3","     26.0","     46.0",1994-12-07,2017-11-23,"   1995011499",255 255 0,
"POLYGON ((495000 6260000,500000 6260000,500000 6265000,495000 6265000,495000 6260000))","      4","     13.3","      7.8","     23.0","     10.1","      6.5","     14.8",1967-09-08,2002-11-26,"       102308",255 255 0,
"POLYGON ((515000 6265000,520000 6265000,520000 6270000,515000 6270000,515000 6265000))","     10","     31.5","      3.2","     93.0","     41.5","     12.0","     70.0",1953-09-01,2021-02-02,"       102349",255 125 0,
"POLYGON ((525000 6260000,530000 6260000,530000 6265000,525000 6265000,525000 6260000))","     34","     50.6","      2.0","    106.0","     28.1","      4.0","     64.0",1989-06-19,2012-08-21,"   1994006836",255 0 0,
"POLYGON ((550000 6265000,555000 6265000,555000 6270000,550000 6270000,550000 6265000))","      4","     26.3","      3.4","     44.0","     59.7","     16.0","    109.0",1976-01-05,1979-06-11,"       102424",255 125 0,
"POLYGON ((555000 6270000,560000 6270000,560000 6275000,555000 6275000,555000 6270000))","    258","     30.6","      2.0","     95.2","     35.7","      8.0","     93.5",1974-10-16,2013-01-10,"       102423",255 125 0,
"POLYGON ((600000 6260000,605000 6260000,605000 6265000,600000 6265000,600000 6260000))","    250","     51.5","      2.0","    333.3","     32.1","      6.0","     64.0",1980-09-02,2017-10-26,"       102521",255 0 0,
"POLYGON ((535000 6245000,540000 6245000,540000 6250000,535000 6250000,535000 6245000))","     36","     28.1","      2.5","    100.0","     19.5","      1.7","     56.0",1968-08-05,2018-11-05,"       103071",255 125 0,
"POLYGON ((560000 6255000,565000 6255000,565000 6260000,560000 6260000,560000 6255000))","    565","     13.3","      2.0","    192.0","     31.8","     12.8","     68.0",1948-01-28,2020-02-05,"         7469",255 255 0,
"POLYGON ((555000 6255000,560000 6255000,560000 6260000,555000 6260000,555000 6255000))","      9","     32.2","      2.3","     67.0","     16.8","     10.0","     22.0",1976-02-24,1999-05-17,"   1998008294",255 125 0,
"POLYGON ((580000 6245000,585000 6245000,585000 6250000,580000 6250000,580000 6245000))","      7","     27.7","      9.1","     50.0","     19.1","      3.7","     51.4",1980-10-21,2013-09-25,"       103235",255 125 0,
"POLYGON ((605000 6245000,610000 6245000,610000 6250000,605000 6250000,605000 6245000))","     22","     61.8","      2.0","    290.0","     25.6","      3.5","     56.0",1978-06-16,2019-01-22,"       103392",255 0 0,
"POLYGON ((460000 6240000,465000 6240000,465000 6245000,460000 6245000,460000 6240000))","      4","      8.8","      2.5","     18.0","      8.0","      5.2","     13.0",1932-04-23,1983-05-24,"       103500",0 255 0,
"POLYGON ((515000 6240000,520000 6240000,520000 6245000,515000 6245000,515000 6240000))","     45","     40.6","      2.0","    198.0","     25.5","      4.6","     40.0",1966-03-10,2017-03-17,"        15400",255 125 0,
"POLYGON ((520000 6240000,525000 6240000,525000 6245000,520000 6245000,520000 6240000))","      9","     33.3","      3.7","     60.0","     26.4","     12.0","     40.0",1966-05-26,2002-09-26,"       103836",255 125 0,
"POLYGON ((540000 6245000,545000 6245000,545000 6250000,540000 6250000,540000 6245000))","     35","     26.6","      2.1","    130.0","     25.8","      1.0","     69.0",1967-12-22,2020-01-28,"        15136",255 125 0,
"POLYGON ((450000 6215000,455000 6215000,455000 6220000,450000 6220000,450000 6215000))","      6","     22.6","      4.0","     63.0","     24.9","     -2.0","    112.0",1984-07-16,1997-10-16,"       130859",255 255 0,
"POLYGON ((460000 6220000,465000 6220000,465000 6225000,460000 6225000,460000 6220000))","      6","     20.1","      3.0","     56.0","     27.6","     14.0","     37.0",1980-06-20,2018-08-30,"   2006139080",255 255 0,
"POLYGON ((515000 6220000,520000 6220000,520000 6225000,515000 6225000,515000 6220000))","     49","     28.0","      2.1","     69.0","     30.6","      3.0","     81.0",1966-08-08,2020-10-29,"       104660",255 125 0,
"POLYGON ((510000 6225000,515000 6225000,515000 6230000,510000 6230000,510000 6225000))","     38","     25.5","      2.7","    120.0","      2.9","     -2.0","      9.0",1967-09-28,2012-12-14,"        11186",255 125 0,
"POLYGON ((535000 6225000,540000 6225000,540000 6230000,535000 6230000,535000 6225000))","    100","      7.2","      2.0","     23.0","     10.9","      5.5","     28.5",1955-03-18,2016-11-24,"         7886",0 255 0,
"POLYGON ((540000 6225000,545000 6225000,545000 6230000,540000 6230000,540000 6225000))","     22","     28.9","      2.2","     71.0","     36.4","     10.0","     90.0",1968-02-14,2019-12-04,"       255938",255 125 0,
"POLYGON ((535000 6220000,540000 6220000,540000 6225000,535000 6225000,535000 6220000))","     15","      8.5","      2.5","     16.0","     14.5","      8.0","     22.0",1964-03-13,2019-05-28,"       104800",0 255 0,
"POLYGON ((570000 6220000,575000 6220000,575000 6225000,570000 6225000,570000 6220000))","     97","      9.5","      2.0","     73.1","     17.0","     -2.0","     96.0",1945-09-20,2016-10-27,"         9021",0 255 0,
"POLYGON ((595000 6220000,600000 6220000,600000 6225000,595000 6225000,595000 6220000))","     17","     21.5","      2.1","     70.0","     23.8","     20.5","     26.0",1967-02-28,2020-02-19,"       105031",255 255 0,
"POLYGON ((465000 6200000,470000 6200000,470000 6205000,465000 6205000,465000 6200000))","     11","      3.5","      2.0","     12.0","     58.5","     20.0","     94.0",1976-08-03,1977-01-10,"       105081",0 255 0,
"POLYGON ((470000 6210000,475000 6210000,475000 6215000,470000 6215000,470000 6210000))","    205","     41.4","      2.0","    119.0","     16.2","      6.5","     36.0",1986-07-22,2020-10-07,"        12169",255 125 0,
"POLYGON ((545000 6205000,550000 6205000,550000 6210000,545000 6210000,545000 6205000))","      6","      8.9","      2.5","     25.0","     34.2","      7.0","     70.0",1976-02-29,2020-05-07,"       105311",0 255 0,
"POLYGON ((590000 6200000,595000 6200000,595000 6205000,590000 6205000,590000 6200000))","   3123","    101.1","      2.0","   1200.0","      3.9","      1.2","     16.3",1977-11-02,2019-07-30,"   1999010321",255 0 0,
"POLYGON ((450000 6180000,455000 6180000,455000 6185000,450000 6185000,450000 6180000))","      6","      4.7","      2.0","     26.0","     26.7","     16.1","     33.0",1974-05-30,2014-04-15,"       105463",0 255 0,
"POLYGON ((465000 6190000,470000 6190000,470000 6195000,465000 6195000,465000 6190000))","    220","     20.8","      2.0","    448.0","     23.6","      1.0","    137.0",1962-11-25,2016-08-31,"       105517",255 255 0,
"POLYGON ((470000 6185000,475000 6185000,475000 6190000,470000 6190000,470000 6185000))","    333","     34.5","      2.0","    230.0","     24.3","      8.1","     46.5",1969-05-06,2020-09-16,"       131052",255 125 0,
"POLYGON ((570000 6190000,575000 6190000,575000 6195000,570000 6195000,570000 6190000))","     41","     38.4","      2.9","     81.0","     12.7","      8.0","     21.0",1964-04-13,2020-08-20,"   1998008232",255 125 0,
"POLYGON ((505000 6175000,510000 6175000,510000 6180000,505000 6180000,505000 6175000))","     45","     38.1","      2.1","    590.0","     11.6","       .6","     26.5",1959-04-24,2019-10-07,"       106200",255 125 0,
"POLYGON ((490000 6170000,495000 6170000,495000 6175000,490000 6175000,490000 6170000))","      7","     57.5","     27.0","     75.0","     11.0","      8.0","     15.0",1977-04-12,2005-06-29,"       106193",255 0 0,
"POLYGON ((515000 6180000,520000 6180000,520000 6185000,515000 6185000,515000 6180000))","     10","     30.4","      7.1","     52.0","     20.9","      9.5","     33.5",1977-05-23,2017-09-25,"       106365",255 125 0,
"POLYGON ((580000 6175000,585000 6175000,585000 6180000,580000 6180000,580000 6175000))","     15","     99.5","      2.0","    269.0","      1.7","     -1.0","     16.1",1966-09-28,2018-10-01,"       106666",255 0 0,
"POLYGON ((450000 6160000,455000 6160000,455000 6165000,450000 6165000,450000 6160000))","     31","     12.0","      2.4","     31.0","     23.2","     14.7","     40.0",1961-12-18,2018-11-07,"       131184",255 255 0,
"POLYGON ((460000 6160000,465000 6160000,465000 6165000,460000 6165000,460000 6160000))","     45","     29.8","      2.2","     70.0","     12.6","      8.0","     15.0",1984-09-19,2019-08-27,"       252319",255 125 0,
"POLYGON ((465000 6155000,470000 6155000,470000 6160000,465000 6160000,465000 6155000))","     28","     25.1","      2.3","     92.0","     38.1","     14.5","     79.0",1981-03-17,2018-05-31,"   1998007691",255 125 0,
"POLYGON ((455000 6150000,460000 6150000,460000 6155000,455000 6155000,455000 6150000))","     11","     45.7","      4.7","     59.0","     30.8","     12.0","    107.5",1973-11-15,1994-03-08,"       106744",255 125 0,
"POLYGON ((485000 6150000,490000 6150000,490000 6155000,485000 6155000,485000 6150000))","     60","     31.2","      2.8","     83.0","     30.6","      9.0","     88.0",1979-01-22,2020-07-09,"       131583",255 125 0,
"POLYGON ((505000 6165000,510000 6165000,510000 6170000,505000 6170000,505000 6165000))","    130","     24.0","      2.0","    110.0","     26.8","      7.5","     71.0",1977-07-11,2020-09-17,"       106863",255 255 0,
"POLYGON ((560000 6145000,565000 6145000,565000 6150000,560000 6150000,560000 6145000))","     84","      7.1","      2.1","     70.0","     36.8","      6.2","     88.2",1969-02-05,2010-06-02,"   2003016489",0 255 0,
"POLYGON ((585000 6140000,590000 6140000,590000 6145000,585000 6145000,585000 6140000))","     71","     30.3","      2.0","    221.3","     14.2","      6.0","     32.3",1971-03-09,2020-08-24,"       155846",255 125 0,
"POLYGON ((585000 6150000,590000 6150000,590000 6155000,585000 6155000,585000 6150000))","      9","      4.8","      2.0","     21.8","     24.0","     15.1","     28.2",1968-07-15,2013-06-04,"   2006057279",0 255 0,
"POLYGON ((500000 6135000,505000 6135000,505000 6140000,500000 6140000,500000 6135000))","    229","     26.1","      2.0","     75.0","     33.5","      4.0","     49.5",1977-07-05,2020-10-01,"       108030",255 125 0,
"POLYGON ((525000 6135000,530000 6135000,530000 6140000,525000 6140000,525000 6135000))","      8","     16.9","      2.7","     68.0","     26.6","     18.4","     49.5",1990-05-21,2012-09-11,"       225601",255 255 0,
"POLYGON ((560000 6135000,565000 6135000,565000 6140000,560000 6140000,560000 6135000))","     13","      5.6","      2.0","     10.0","     32.9","     12.5","     68.0",1965-05-10,2016-10-20,"   2006057914",0 255 0,
"POLYGON ((570000 6130000,575000 6130000,575000 6135000,570000 6135000,570000 6130000))","     22","      3.2","      2.0","      6.1","     38.2","     32.0","     42.5",1972-02-28,2020-05-11,"   2006058171",0 255 0,
"POLYGON ((525000 6120000,530000 6120000,530000 6125000,525000 6125000,525000 6120000))","      8","     10.5","      2.1","     23.0","     23.4","      9.0","     41.0",1975-03-12,2001-10-18,"       108727",255 255 0,
"POLYGON ((580000 6115000,585000 6115000,585000 6120000,580000 6120000,580000 6115000))","      7","     12.3","      2.0","     40.0","     27.9","     19.6","     41.5",1925-12-14,1986-03-26,"       108780",255 255 0,
"POLYGON ((590000 6100000,595000 6100000,595000 6105000,590000 6105000,590000 6100000))","     14","     10.7","      2.0","     31.0","     21.1","      5.0","     38.0",1973-08-10,2019-04-24,"   1996006421",255 255 0,
"POLYGON ((490000 6085000,495000 6085000,495000 6090000,490000 6090000,490000 6085000))","      1","    157.0","    157.0","    157.0","      8.0","      8.0","      8.0",1929-08-31,1929-08-31,"       109347",255 0 0,
"POLYGON ((510000 6090000,515000 6090000,515000 6095000,510000 6095000,510000 6090000))","      4","     36.2","      7.4","     66.0","      4.7","      1.0","      8.4",1977-06-28,2001-11-29,"       109406",255 125 0,
"POLYGON ((545000 6075000,550000 6075000,550000 6080000,545000 6080000,545000 6075000))","      2","      3.4","      2.9","      3.9","     59.8","     44.0","     75.5",2007-10-01,2008-12-02,"   2007050313",0 255 0,
"POLYGON ((585000 6080000,590000 6080000,590000 6085000,585000 6085000,585000 6080000))","     18","     22.6","      2.0","     54.0","     20.6","     11.5","     32.0",1970-05-25,2020-10-20,"   2006032043",255 255 0,
"POLYGON ((685000 6200000,690000 6200000,690000 6205000,685000 6205000,685000 6200000))","     19","     19.0","      2.2","     43.0","     33.8","     28.5","     38.0",1972-02-21,2017-03-13,"       109951",255 255 0,
"POLYGON ((690000 6205000,695000 6205000,695000 6210000,690000 6210000,690000 6205000))","     73","     21.1","      2.1","     73.0","     28.0","      7.5","     39.5",1972-02-11,2006-05-30,"       109940",255 255 0,
"POLYGON ((695000 6190000,700000 6190000,700000 6195000,695000 6195000,695000 6190000))","     57","     15.9","      2.0","     58.0","     17.3","      1.3","     48.2",1936-06-19,2020-07-22,"       152382",255 255 0,
"POLYGON ((705000 6185000,710000 6185000,710000 6190000,705000 6190000,705000 6185000))","     70","     22.6","      2.4","     85.0","     18.0","      3.6","     57.7",1989-07-12,2020-09-24,"       227452",255 255 0,
"POLYGON ((715000 6200000,720000 6200000,720000 6205000,715000 6205000,715000 6200000))","     14","     16.4","      2.0","     47.0","     12.3","      3.5","     40.0",1939-03-30,2016-06-01,"       110201",255 255 0,
"POLYGON ((630000 6175000,635000 6175000,635000 6180000,630000 6180000,630000 6175000))","      5","      2.4","      2.0","      2.6","     30.4","     22.7","     39.0",1988-05-09,1998-03-04,"       151818",0 255 0,
"POLYGON ((700000 6175000,705000 6175000,705000 6180000,700000 6180000,700000 6175000))","    134","     39.0","      2.2","    934.1","     14.7","      2.0","     36.5",1986-09-04,2020-04-24,"       150964",255 125 0,
"POLYGON ((710000 6170000,715000 6170000,715000 6175000,710000 6175000,710000 6170000))","     44","      4.9","      2.0","     22.0","     20.1","      4.0","     58.0",1966-02-21,2019-12-17,"       112342",0 255 0,
"POLYGON ((715000 6180000,720000 6180000,720000 6185000,715000 6185000,715000 6180000))","    234","     16.4","      2.0","     95.0","     20.9","      2.0","     45.0",1986-05-20,2020-11-03,"       156005",255 255 0,
"POLYGON ((700000 6185000,705000 6185000,705000 6190000,700000 6190000,700000 6185000))","     82","     26.9","      2.2","    120.0","     27.3","      6.8","     53.5",1978-06-12,2019-02-27,"       111465",255 125 0,
"POLYGON ((700000 6160000,705000 6160000,705000 6165000,700000 6165000,700000 6160000))","     68","     10.0","      2.0","    159.4","     14.7","     -2.0","     39.0",0001-01-03,2009-06-17,"       152046",255 255 0,
"POLYGON ((640000 6145000,645000 6145000,645000 6150000,640000 6150000,640000 6145000))","      4","     15.0","      2.0","     37.0","     24.1","     18.5","     27.5",1977-04-29,2013-11-19,"       112521",255 255 0,
"POLYGON ((700000 6150000,705000 6150000,705000 6155000,700000 6155000,700000 6150000))","     67","     15.9","      2.1","     53.1","     14.6","       .4","    111.8",1986-08-04,2020-03-20,"       253982",255 255 0,
"POLYGON ((690000 6135000,695000 6135000,695000 6140000,690000 6140000,690000 6135000))","     14","     29.4","      2.0","    115.0","     16.2","     13.0","     25.0",1958-01-13,2011-01-18,"       113951",255 125 0,
"POLYGON ((645000 6120000,650000 6120000,650000 6125000,645000 6125000,645000 6120000))","     40","     47.1","      2.0","    267.0","     27.6","      4.3","     60.0",1961-07-01,2018-11-07,"       115287",255 125 0,
"POLYGON ((700000 6125000,705000 6125000,705000 6130000,700000 6130000,700000 6125000))","     57","      9.5","      3.2","     27.5","     29.8","     16.0","     50.0",1971-05-13,2020-03-26,"   2006457281",0 255 0,
